site,year,species,basal.area.cm2,x,y
McGilvra Woods,2019,Acer saccharum,95.81843771,0,0
McGilvra Woods,2019,Acer saccharum,1016.124734,2.8,0.4
McGilvra Woods,2019,Carya cordiformis,2.151774831,28.4,0.5
McGilvra Woods,2019,Tilia americana,3170.99115,9.7,0.7
McGilvra Woods,2019,Acer saccharum,481.6697029,17.2,1.1
McGilvra Woods,2019,Acer saccharum,1239.422302,20.9,1.1
McGilvra Woods,2019,Acer saccharum,20.11798058,18.9,1.5
McGilvra Woods,2019,Acer saccharum,1420.375107,40.6,1.6
McGilvra Woods,2019,Acer saccharum,12.83505039,22.5,1.7
McGilvra Woods,2019,Acer saccharum,589.9245078,19.3,1.9
McGilvra Woods,2019,Acer saccharum,30.25933356,41.8,1.9
McGilvra Woods,2019,Acer saccharum,321.8876893,35.7,2.1
McGilvra Woods,2019,Acer saccharum,24.17324853,3.6,2.2
McGilvra Woods,2019,Prunus serotina,1167.020331,26.7,3.9
McGilvra Woods,2019,Acer saccharum,192.6284107,21.4,5.5
McGilvra Woods,2019,Acer saccharum,199.7402494,46.4,5.5
McGilvra Woods,2019,Tilia americana,1892.164471,14.3,5.6
McGilvra Woods,2019,Acer saccharum,2.32047907,28.3,5.6
McGilvra Woods,2019,Acer saccharum,156.8758443,20.9,6.3
McGilvra Woods,2019,Acer saccharum,1025.136883,36.2,6.5
McGilvra Woods,2019,Acer saccharum,1493.589563,5.9,6.8
McGilvra Woods,2019,Acer saccharum,412.5296125,37.5,6.8
McGilvra Woods,2019,Acer saccharum,429.8973957,33.7,7
McGilvra Woods,2019,Carya cordiformis,1007.152374,21.9,7.5
McGilvra Woods,2019,Tilia americana,1217.925244,42.5,8.5
McGilvra Woods,2019,Acer saccharum,1482.707344,7.9,8.6
McGilvra Woods,2019,Ulmus americana,220.1717652,23,9.1
McGilvra Woods,2019,Acer saccharum,295.1377222,12.3,9.4
McGilvra Woods,2019,Fraxinus americana,178.79148,18.6,9.6
McGilvra Woods,2019,Acer saccharum,89.83978228,36.7,10.6
McGilvra Woods,2019,Acer saccharum,492.8781897,49.2,11.2
McGilvra Woods,2019,Acer saccharum,75.49037261,42,11.5
McGilvra Woods,2019,Acer saccharum,233.7699635,14.7,11.9
McGilvra Woods,2019,Acer saccharum,709.1434968,5.6,12.6
McGilvra Woods,2019,Quercus rubra,1929.156058,9,13
McGilvra Woods,2019,Fraxinus americana,1931.634896,4.1,13.9
McGilvra Woods,2019,Ulmus americana,459.6394756,24,14.3
McGilvra Woods,2019,Acer saccharum,85.61262699,8.2,14.4
McGilvra Woods,2019,Acer saccharum,406.8199289,5,14.6
McGilvra Woods,2019,Quercus rubra,9214.447318,44.4,15.8
McGilvra Woods,2019,Acer saccharum,317.8515199,47.4,16.1
McGilvra Woods,2019,Acer saccharum,117.9537072,13.4,17
McGilvra Woods,2019,Acer saccharum,141.7147444,46.1,17
McGilvra Woods,2019,Acer saccharum,93.6220995,8.7,17.5
McGilvra Woods,2019,Quercus alba,3502.685171,8.6,17.7
McGilvra Woods,2019,Carya cordiformis,1843.348466,34.4,18
McGilvra Woods,2019,Acer saccharum,7.487444298,24.9,18.3
McGilvra Woods,2019,Tilia americana,1103.28196,20.2,19.7
McGilvra Woods,2019,Acer saccharum,101.9896706,41.3,20.2
McGilvra Woods,2019,Acer saccharum,579.0128449,39.3,20.3
McGilvra Woods,2019,Acer saccharum,127.3239545,37.2,20.8
McGilvra Woods,2019,Acer saccharum,90.37533866,17,21.2
McGilvra Woods,2019,Acer saccharum,202.9424468,3,21.6
McGilvra Woods,2019,Acer saccharum,444.0494532,19.6,22.3
McGilvra Woods,2019,Acer saccharum,69.25229461,24.6,23.1
McGilvra Woods,2019,Acer saccharum,271.4037414,11.6,23.3
McGilvra Woods,2019,Quercus rubra,3732.159542,44,23.5
McGilvra Woods,2019,Acer saccharum,116.1226296,24.4,23.8
McGilvra Woods,2019,Acer saccharum,626.0908771,19.3,24.7
McGilvra Woods,2019,Quercus rubra,1853.101481,24.5,25
McGilvra Woods,2019,Acer saccharum,1136.386188,40.2,25.7
McGilvra Woods,2019,Acer saccharum,583.0927819,43.3,25.8
McGilvra Woods,2019,Tilia americana,1412.344944,12,25.9
McGilvra Woods,2019,Acer saccharum,991.102394,46.9,26.4
McGilvra Woods,2019,Acer saccharum,1428.893079,1.4,27.4
McGilvra Woods,2019,Acer saccharum,165.4702112,42.3,27.6
McGilvra Woods,2019,Acer saccharum,153.3624989,26.3,28.3
McGilvra Woods,2019,Carya cordiformis,1740.710239,44.4,28.5
McGilvra Woods,2019,Acer saccharum,164.7452605,17.4,28.7
McGilvra Woods,2019,Acer saccharum,249.5549508,46.6,28.7
McGilvra Woods,2019,Acer saccharum,171.3271131,9,29.1
McGilvra Woods,2019,Acer saccharum,884.0388638,31,29.1
McGilvra Woods,2019,Acer saccharum,72.097985,6.8,29.5
McGilvra Woods,2019,Acer saccharum,166.9248874,43.1,29.7
McGilvra Woods,2019,Tilia americana,1979.035217,13.6,30
McGilvra Woods,2019,Acer saccharum,1299.72611,32.4,30
McGilvra Woods,2019,Tilia americana,2161.247733,9.4,30.3
McGilvra Woods,2019,Acer saccharum,299.0274691,23.7,30.3
McGilvra Woods,2019,Acer saccharum,2235.312077,28,31.9
McGilvra Woods,2019,Acer saccharum,133.1179902,8.6,33.5
McGilvra Woods,2019,Acer saccharum,522.1077908,7.7,33.8
McGilvra Woods,2019,Acer saccharum,421.7478668,1.6,33.9
McGilvra Woods,2019,Fraxinus americana,627.5033772,33.2,34.4
McGilvra Woods,2019,Tilia americana,1307.874843,16.5,35.2
McGilvra Woods,2019,Acer saccharum,494.1315349,22.2,35.8
McGilvra Woods,2019,Acer saccharum,1691.629242,24.3,36
McGilvra Woods,2019,Acer saccharum,167.6546128,31.3,36.1
McGilvra Woods,2019,Acer saccharum,340.3655782,48,36.4
McGilvra Woods,2019,Acer saccharum,104.2815018,44.2,37.1
McGilvra Woods,2019,Acer saccharum,496.6429999,19.5,37.2
McGilvra Woods,2019,Carya cordiformis,439.3066359,37.7,37.5
McGilvra Woods,2019,Acer saccharum,850.8073117,13.7,37.9
McGilvra Woods,2019,Acer saccharum,156.8758443,40.9,38.2
McGilvra Woods,2019,Acer saccharum,1480.535675,14,39.6
McGilvra Woods,2019,Acer saccharum,1168.948494,3.9,41.2
McGilvra Woods,2019,Acer saccharum,84.05370432,40.5,41.4
McGilvra Woods,2019,Fraxinus americana,1115.56156,0.7,41.6
McGilvra Woods,2019,Fraxinus americana,2747.144825,8,41.6
McGilvra Woods,2019,Tilia americana,798.9609974,29.4,41.7
McGilvra Woods,2019,Acer saccharum,511.8454801,21.5,43.7
McGilvra Woods,2019,Acer saccharum,950.671468,39.9,43.9
McGilvra Woods,2019,Acer saccharum,698.6655312,11.6,45
McGilvra Woods,2019,Fraxinus americana,1850.673573,13.9,45
McGilvra Woods,2019,Acer saccharum,936.8058894,37.7,45.1
McGilvra Woods,2019,Fraxinus americana,1424.63091,7.9,45.3
McGilvra Woods,2019,Acer saccharum,739.51026,35.3,46
McGilvra Woods,2019,Acer saccharum,144.4140123,7,46.5
McGilvra Woods,2019,Tilia americana,1661.5975,38.2,47
McGilvra Woods,2019,Quercus rubra,4500.013706,33.3,47.8
McGilvra Woods,2019,Acer saccharum,802.3836245,16.1,49.7
